seller_city,product_id,order_item_id,price
ferraz de vasconcelos,35,35,3622.8900000000003
bady bassitt,22,22,3612.7200000000003
ibia,40,40,3610.7000000000003
porto velho,6,6,3579.94
mandirituba,15,15,3578.0
vitoria,23,23,3507.9700000000003
dois corregos,36,36,3477.7
cachoeiro de itapemirim,13,13,3473.79
arvorezinha,23,23,3446.9
echapora,65,65,3418.26
japira,11,11,3415.7
mogi mirim,53,53,3357.86
parnamirim,14,14,3266.6
jaguaruna,68,68,3266.6
imbe,9,9,3221.5
descalvado,17,17,3220.7599999999998
campo do meio,17,17,3148.0
morrinhos,39,39,3075.24
pilar do sul,26,26,3072.3
cornelio procopio,54,54,3026.0
bento goncalves,32,32,2999.09
barra mansa,27,27,2921.35
conchal,21,21,2912.96
ouro fino,16,16,2877.7
caucaia,28,28,2777.7200000000003
santa terezinha de itaipu,38,38,2716.52
mombuca,33,33,2666.7000000000003
coxim,17,17,2658.9
massaranduba,21,21,2658.45
santo antonio de padua,16,16,2575.9
buritama,15,15,2575.9
aruja,31,31,2559.31
artur nogueira,24,24,2528.8
teresina,12,12,2522.0
tiradentes,23,23,2511.5
vargem grande paulista,16,16,2489.3
guaratuba,22,22,2449.49
uruacu,22,22,2442.71
garopaba,14,14,2430.0
braco do norte,23,23,2418.2999999999997
mococa,38,38,2411.3
santa rosa de viterbo,12,12,2381.0
angra dos reis,6,6,2368.8
paulo lopes,7,7,2344.98
monteiro lobato,44,44,2338.25
farroupilha,45,45,2325.9900000000002
xanxere,8,8,2297.0499999999997
luziania,16,16,2284.98
bocaiuva do sul,11,11,2243.9
mairipora,23,23,2222.98
vitoria de santo antao,3,3,2217.99
sao bento do sul,16,16,2201.1
ponta grossa,23,23,2138.51
portao,28,28,2042.98
taruma,13,13,1912.15
paranavai,17,17,1872.79
cerqueira cesar,20,20,1871.7
mineiros do tiete,61,61,1822.11
socorro,24,24,1812.96
sando andre,15,15,1772.45
vargem grande do sul,12,12,1750.5
mandaguari,4,4,1716.0
tanabi,16,16,1715.89
lorena,10,10,1711.5
joao pessoa,10,10,1695.49
lages - sc,3,3,1692.0
campos dos goytacazes,12,12,1667.0
cananeia,12,12,1642.0
flores da cunha,11,11,1641.8
itu,29,29,1641.0
marechal candido rondon,21,21,1632.49
ouro preto,18,18,1622.74
aperibe,20,20,1610.33
sao  jose dos pinhais,2,2,1598.0
vespasiano,8,8,1597.3
pitanga,14,14,1582.29
tiete,11,11,1552.27
ampere,24,24,1552.0
marica,11,11,1548.9
ipira,5,5,1541.9
sbc/sp,10,10,1535.2
cataguases,4,4,1520.0
joao pinheiro,4,4,1519.96
monte alto,6,6,1499.94
eunapolis,14,14,1486.8
ubatuba,19,19,1471.54
jaci,7,7,1468.4
laranjeiras do sul,3,3,1459.97
campina das missoes,21,21,1438.11
ivoti,2,2,1400.0
itaipulandia,11,11,1397.8400000000001
tabao da serra,8,8,1372.3
porto belo,16,16,1369.7
formosa do oeste,11,11,1349.1
rio negrinho,6,6,1341.45
embu das artes,3,3,1332.0
lagoa santa,12,12,1328.02
holambra,7,7,1322.93
venancio aires,9,9,1322.31
porto seguro,15,15,1320.7
pederneiras,9,9,1294.97
jambeiro,4,4,1280.0
guanhaes,10,10,1252.0
chapeco,8,8,1240.5
osvaldo cruz,4,4,1235.1599999999999
feira de santana,3,3,1230.0
sabara,7,7,1217.9
extrema,5,5,1208.0
ribeirao preto / sao paulo,39,39,1208.0
santa maria,4,4,1205.88
sao jose do rio pardo,25,25,1191.75
floresta,22,22,1190.87
araxa,4,4,1188.79
ji parana,8,8,1182.26
manaus,3,3,1177.0
imbituba,14,14,1173.6
nova lima,11,11,1154.35
sao francisco do sul,2,2,1154.0
piracanjuba,8,8,1135.2
mogi das cruses,14,14,1104.7
aracaju,5,5,1096.7
nova petropolis,8,8,1077.8000000000002
sp / sp,12,12,1045.47
vassouras,12,12,1041.3
dores de campos,3,3,1026.5
pinhais/pr,4,4,989.74
terra boa,7,7,973.6
itapeva,8,8,917.0
boituva,18,18,908.2
cambe,6,6,887.38
camanducaia,12,12,871.8
colorado,10,10,863.42
domingos martins,21,21,862.9
andira-pr,51,51,861.9
estancia velha,14,14,861.8
santa barbara d oeste,9,9,855.91
bahia,5,5,849.5
aparecida,48,48,847.35
orlandia,6,6,839.4000000000001
campo magro,3,3,832.4100000000001
franco da rocha,8,8,822.7
rio grande,16,16,822.58
carapicuiba / sao paulo,9,9,810.95
engenheiro coelho,17,17,793.9
"rio de janeiro, rio de janeiro, brasil",2,2,789.8
pinhalao,11,11,765.19
guarapuava,3,3,763.1
picarras,4,4,759.0
horizontina,2,2,739.0
maua/sao paulo,2,2,734.99
sbc,1,1,730.0
sao pedro da aldeia,13,13,728.79
arinos,10,10,724.72
rio de janeiro / rio de janeiro,5,5,721.89
nova odessa,13,13,705.34
varzea paulista,34,34,701.54
bonfinopolis de minas,6,6,696.0
muriae,7,7,678.0
presidente epitacio,7,7,671.5
varzea alegre,2,2,658.0
colatina,4,4,656.77
mandaguacu,19,19,623.7
pedregulho,7,7,622.0
sao jose dos pinhas,7,7,604.8
sao bento,9,9,598.4
tres de maio,13,13,596.55
sao miguel d'oeste,2,2,594.98
nova trento,2,2,594.0
imbituva,8,8,578.1999999999999
soledade,2,2,578.0
brasilia df,5,5,568.78
santo andre/sao paulo,13,13,567.79
bandeirantes,5,5,539.7
santa cecilia,2,2,537.76
mairinque,10,10,514.27
laurentino,10,10,512.96
irati,4,4,512.0
auriflama/sp,6,6,510.0
neopolis,5,5,509.5
ararangua,5,5,507.75
balenario camboriu,3,3,507.0
laguna,6,6,501.20000000000005
sao jose do rio pret,4,4,499.6
presidente bernardes,7,7,489.92999999999995
itapetininga,3,3,488.88
carmo do cajuru,8,8,479.2
serra,10,10,473.27
alvorada,7,7,464.0
caieiras,4,4,463.96
mucambo,11,11,457.0
cariacica / es,7,7,453.0
embu guacu,21,21,452.2
erechim,2,2,450.0
ao bernardo do campo,4,4,434.96000000000004
garulhos,23,23,416.18
04482255,1,1,399.9
itaborai,17,17,399.0
caratinga,3,3,391.15
sao paulo sp,1,1,390.0
ourinhos,3,3,389.64
santa cruz do sul,3,3,388.0
igaracu do tiete,8,8,382.83
santo antonio da patrulha,2,2,376.8
guiricema,4,4,368.6
xaxim,2,2,360.0
auriflama,9,9,359.33
sao vicente,2,2,358.0
serra redonda,1,1,355.0
janauba,1,1,354.9
saquarema,15,15,346.59999999999997
rolante,8,8,344.2
miguelopolis,3,3,339.70000000000005
portoferreira,4,4,336.0
castro pires,1,1,334.99
pelotas,13,13,330.9
jaciara,2,2,318.0
rio de janeiro \rio de janeiro,5,5,315.70000000000005
igrejinha,3,3,314.96000000000004
jaragua,5,5,314.51
garuva,6,6,308.96000000000004
itirapina,4,4,307.6
santa terezinha de goias,9,9,302.1
treze tilias,3,3,302.06
pato branco,10,10,301.57
belford roxo,2,2,299.9
irece,1,1,299.89
sao paulo / sao paulo,5,5,299.5
leme,6,6,298.7
afonso claudio,6,6,293.99
sao joao da boa vista,2,2,287.0
centro,9,9,280.88
paraiso do sul,5,5,277.67
nhandeara,1,1,269.9
cachoeira do sul,3,3,269.70000000000005
rio branco,1,1,267.0
armacao dos buzios,4,4,262.7
triunfo,3,3,261.70000000000005
barra velha,5,5,257.25
sao paulop,7,7,256.39
minas gerais,1,1,249.9
ipua,1,1,249.0
bage,1,1,248.0
santa rosa,4,4,246.0
caruaru,8,8,245.61
ipe,2,2,244.0
pinhalzinho,5,5,241.5
guaira,2,2,233.89
olimpia,3,3,231.89999999999998
rio das pedras,1,1,229.9
clementina,5,5,224.3
francisco morato,6,6,223.32
camboriu,2,2,219.8
formosa,2,2,218.9
prados,2,2,210.0
presidente getulio,1,1,202.89
itaporanga,3,3,201.5
governador valadares,2,2,199.98
pedrinhas paulista,3,3,195.74
sao bernardo do capo,2,2,186.69
orleans,1,1,185.0
pedro leopoldo,3,3,182.70000000000002
jacarei / sao paulo,9,9,179.9
belo horizont,1,1,178.9
taio,3,3,175.7
parana,2,2,175.0
itapui,1,1,175.0
itau de minas,3,3,174.70000000000002
campos novos,1,1,174.0
pato bragado,3,3,172.8
barbacena,1,1,170.0
sao pauo,1,1,169.9
marapoama,1,1,169.9
lambari,2,2,165.8
santa maria da serra,4,4,164.96
bom jesus dos perdoes,3,3,161.7
joao monlevade,4,4,158.78
ribeirao pretp,2,2,153.6
gaspar,2,2,150.8
torres,3,3,149.79
sertanopolis,3,3,149.7
alvares machado,6,6,148.59
abadia de goias,1,1,142.47
monte alegre do sul,4,4,139.96
tres coroas,1,1,139.9
pacatuba,1,1,139.0
cravinhos,3,3,138.60000000000002
alambari,5,5,138.6
cordeiropolis,4,4,129.45999999999998
paracambi,1,1,125.0
itabira,4,4,124.6
cacador,2,2,119.8
ferraz de  vasconcelos,2,2,108.0
ibirite,1,1,102.0
bom jardim,2,2,101.9
ronda alta,1,1,100.9
messias targino,1,1,98.0
viana,1,1,98.0
marialva,1,1,92.9
vera cruz,2,2,90.98
campanha,1,1,90.0
fernando prestes,3,3,86.6
passos,1,1,86.5
santa catarina,1,1,80.9
araquari,1,1,80.0
pirassununga,1,1,79.9
rio do oeste,3,3,79.69999999999999
pitangueiras,1,1,79.39
campina grande,2,2,77.5
divisa nova,1,1,74.99
carmo da mata,1,1,74.9
barbacena/ minas gerais,1,1,69.9
"novo hamburgo, rio grande do sul, brasil",1,1,66.64
tocantins,1,1,64.9
eusebio,1,1,64.9
sao sebastiao da grama/sp,1,1,61.9
itapema,2,2,60.0
robeirao preto,2,2,60.0
medianeira,1,1,59.99
cordilheira alta,1,1,57.99
oliveira,3,3,57.0
mogi das cruzes / sp,1,1,54.0
cianorte,1,1,51.9
guaratingueta,1,1,49.99
pouso alegre,1,1,49.9
angra dos reis rj,1,1,49.0
imigrante,1,1,48.9
são paulo,2,2,47.8
avare,1,1,47.4
uniao da vitoria,1,1,41.9
almirante tamandare,2,2,40.0
juzeiro do norte,1,1,39.9
sao miguel do oeste,1,1,39.0
barrinha,2,2,36.49
aguas claras df,1,1,35.0
uruguaiana,1,1,29.99
guaimbe,1,1,29.99
sapiranga,1,1,29.9
tambau,1,1,29.8
goioere,1,1,27.9
brotas,4,4,25.0
condor,1,1,24.9
barro alto,1,1,23.9
cascavael,1,1,21.99
resende,1,1,19.99
floranopolis,2,2,19.98
jarinu,1,1,14.63
macatuba,1,1,13.0
palotina,1,1,9.99
